Stock,Model,Signal_Threshold_Epsilon,Buy_Orders,Sell_Orders,Close_Positions,Total_Trades,Total_Return,BuyHold_Return,Excess_Return,Sharpe_Ratio,Max_Drawdown,MAE,RMSE,MAPE,Directional_Accuracy,OOS_R_Squared,HP_C,HP_epsilon,HP_gamma,HP_lookback_window,HP_prediction_horizon
CARR,SVR,0.004507552297823439,10,6,0,16,0.07148803519134395,-0.1229151214472998,0.19440315663864374,0.20288843801311643,0.15766788250051836,1.1055613698683024,1.5196619467501207,0.017025041075826412,0.48138297872340424,-0.2817924994857792,0.1,0.1,0.001,60,5
OTIS,SVR,0.002525057597546372,16,12,0,28,-0.3180054944341135,-0.048812664361243284,-0.26919283007287026,-3.586643713165126,0.33761907777855604,0.9021183989286744,1.425062562369665,0.009705580603836422,0.550531914893617,-0.08396999338226974,1.0,0.01,10.0,60,5
RSG,SVR,0.002011596122083669,16,8,3,27,0.14498010915363468,0.1310959046220051,0.013884204531629585,2.4534417777512414,0.10621770667379721,2.0076042958724805,2.8122383182028794,0.009195065402829347,0.5585106382978723,-0.24372277653106988,0.1,0.001,0.001,60,5
CTAS,SVR,0.002431886873235683,10,8,1,19,0.2572640246385659,0.1101971873801932,0.14706683725837272,5.247905012341959,0.15959902103487647,2.2809946660056073,3.2802968569089104,0.011424934483241927,0.5292553191489362,-0.2518960172797573,0.1,0.001,0.001,60,5
AJG,SVR,0.002831089675744656,15,8,5,28,0.14401453400298445,0.02300663492734207,0.12100789907564238,1.07509303673002,0.10677551377024046,3.9881078127913816,5.3633417180419025,0.013737016443923849,0.5372340425531915,-0.5244425903822174,0.1,0.01,0.01,60,5
PEP,SVR,0.002639219587155116,14,3,6,23,-0.01565758801489341,-0.06471422828277279,0.049056640267879384,-4.581953457752421,0.12209273098449938,1.6735836241935915,2.248705087887862,0.011640394049637086,0.48936170212765956,-0.47686603646856107,1000.0,0.01,0.001,60,5
TT,SVR,0.0032328669829875287,9,7,0,16,0.09366394900101688,0.23325225407872313,-0.13958830507770625,0.33656555718600817,0.15028910528933273,4.726341185689382,6.715699313946805,0.012414922125582387,0.5292553191489362,-0.08921055368129838,0.1,0.001,10.0,60,5
GWW,SVR,0.003971727302911201,13,2,7,22,0.16820073067726626,0.1539701293846732,0.01423060129259307,1.3917927467016653,0.11814011012559505,15.955725048875472,21.574756773048975,0.015820341640876888,0.48404255319148937,-1.1281489437671266,0.1,0.01,1.0,60,5
RMD,SVR,0.004674376013809347,6,1,4,11,-0.024158732702184205,0.3178753034288759,-0.3420340361310601,-1.730873522994674,0.08129855430009,3.1460259298452535,4.4078425590907875,0.01317703956573075,0.523936170212766,-0.13842424677937437,0.1,0.05,0.01,60,5
BLK,SVR,0.003604469286026546,9,0,8,17,0.13469947745642363,0.4286190666164525,-0.29391958916002886,1.2368267199761236,0.055015887927680855,15.670987520694077,21.62001985057255,0.01616018352271162,0.4920212765957447,-1.0690607368066596,10.0,0.05,0.01,60,5
