Stock,Model,Signal_Threshold_Epsilon,Buy_Orders,Sell_Orders,Close_Positions,Total_Trades,Total_Return,BuyHold_Return,Excess_Return,Sharpe_Ratio,Max_Drawdown,MAE,RMSE,MAPE,Directional_Accuracy,OOS_R_Squared
CARR,TimesFM,0.004113393675147071,7,0,4,11,-0.07932840274801027,-0.1229151214472998,0.043586718699289526,-11.385580500547064,0.2500932039946392,0.9597188,1.3567575709109052,0.014643678,0.4946808510638298,-0.02171135
OTIS,TimesFM,0.0025537926756385126,8,0,5,13,-0.23803915415895988,-0.048812664361243284,-0.18922648979771658,-1.4188487198956974,0.29228453988894887,0.9056576,1.4045837703505366,0.00973419,0.4734042553191489,-0.05303955
RSG,TimesFM,0.0016338534908110454,11,5,3,19,0.1420671589660077,0.1310959046220051,0.01097125434400259,1.4947488495996248,0.08802697694456939,1.7973417,2.5781466396463992,0.008226114,0.523936170212766,-0.045284748
CTAS,TimesFM,0.0022516206139534846,10,1,5,16,0.019564248717951413,0.1101971873801932,-0.09063293866224179,-0.1661474361098141,0.16918429223431622,2.0201063,2.9875942263248256,0.010086823,0.4946808510638298,-0.03844893
AJG,TimesFM,0.0024180182479639385,8,6,3,17,0.04124103581299598,0.02300663492734207,0.01823440088565391,0.05499457480817423,0.14737429854254946,3.1019979,4.3552653312222755,0.0105202515,0.5452127659574468,-0.005239129
PEP,TimesFM,0.002248691767866347,4,0,2,6,-0.04876338050354112,-0.06471422828277279,0.01595084777923167,-65.79934707319863,0.10396946680831717,1.3692727,1.8674464983853394,0.009504442,0.4867021276595745,-0.018526673
TT,TimesFM,0.003221429661340504,8,2,2,12,0.22537840507313361,0.23325225407872313,-0.007873849005589517,6.594908679033636,0.15534294379894834,4.5344405,6.476909706370965,0.011927804,0.5079787234042553,-0.013129711
GWW,TimesFM,0.002527977170514912,6,1,2,9,0.10398021704356085,0.1539701293846732,-0.049989912341112344,0.40319168943589984,0.13964857727846947,10.468984,14.973642206807934,0.010392417,0.48138297872340424,-0.025097251
RMD,TimesFM,0.005053896954308817,6,2,4,12,0.1378263072567235,0.3178753034288759,-0.18004899617215236,1.144597834882935,0.09293049888147906,2.9507608,4.208412673252655,0.012390249,0.44680851063829785,-0.03774023
BLK,TimesFM,0.002863551824937889,7,3,5,15,0.09609716090469185,0.4286190666164525,-0.33252190571176066,0.30592086731342355,0.1437636035000173,10.498306,15.217612472727684,0.010778677,0.5425531914893617,-0.025071383
