Stock,Model,Buy Orders,Sell Orders,Close Positions,Total Trades,Total Return,Directional Accuracy,OOS-R²
CARR,LinearSeparation,5,4,0,9,-0.07001687549917988,0.46808510638297873,-0.08359651802393375
OTIS,LinearSeparation,7,3,4,14,-0.21021263744256619,0.4787234042553192,-0.1403055849346353
RSG,LinearSeparation,9,5,1,15,0.19933735290895305,0.5611702127659575,-0.059671472802680814
CTAS,LinearSeparation,7,6,0,13,-0.034601793056376916,0.550531914893617,-0.07346361512861344
AJG,LinearSeparation,9,4,3,16,0.1899927174249428,0.5345744680851063,-0.14976988433755878
PEP,LinearSeparation,5,0,3,8,-0.12995375914863747,0.4787234042553192,-0.06921064531579102
TT,LinearSeparation,8,5,1,14,0.04494032519783854,0.4973404255319149,-0.10024741866441889
GWW,LinearSeparation,5,4,0,9,0.004979022912315704,0.48138297872340424,-0.10262934111133681
RMD,LinearSeparation,6,3,2,11,0.08867585823358284,0.5345744680851063,-0.12612548272449797
BLK,LinearSeparation,7,5,1,13,0.32280532923054156,0.5478723404255319,-0.08875657299139905
